given_name,surname,street_number,address_1,address_2,suburb,postcode,state,date_of_birth,soc_sec_id,canonical_id
daniel,heron,3,gaunson crescent,munmurra park,jesmond,2457,nsw,19091018,9362456,325
gregory,bujtas,,badimara street,tourist park,killaora,4285,nsw,19811017,6763771,326
megan,jessup,5,wyatt steet,beachfront c aravan park,ringwood,3225,nsw,19010928,9738709,327
jaregd,white,57,walsh place,dunmunkle lodge,evans head,3124,wa,,8491221,328
dominic,jormaaninen,,geeves court,gretamain,,6025,vic,19880214,7639310,329
kane,vincent,150,mcmillan crescent,balmoral garden,shoalhave nheads,4897,tas,19680908,4013554,330
jarryd,george,83,gilmore crescent,,wellakrd,3071,qld,19320810,4392990,331
thomas,hare,68,gilderston circuit,canow indra,coffs harbour,4311,nsw,19190206,3277988,332
keely,demarco,56,serpentioe estreet,,mona vale,5113,wa,19910622,2184846,333
dylman,,140,hurtle avenue,tulloch,,3585,qld,19211103,3790788,334
jason,tebbutt,,stradbroke street,kildurham,winthrop,6213,act,19750627,1072661,335
ja cob,green,1,stricklancrescent,,hectorville,4655,nsw,19660623,4867426,336
jacqueline,grillett,10,wandoo street,braemore,tuart hill,2774,vic,19241218,3043851,337
cooper,webb,34,namadgi circuit,fernale,newcastle,2566,nsw,19621205,8131556,338
tess,pembroke,,lawes place,sheep station,brookvale,4605,vic,19890611,6248469,339
nicholas,malin,17,hearn street,mia in,acton,5166,nsw,19700121,6007254,340
shanaye,lonto,41,haystack crescent,,leetob,3680,nsw,19300519,1632237,341
alisa,kalinowski,99,,river quays,lavington,4878,vic,,9382250,342
emiily,mccarthy,10,mcintosh tsreet,kiloran,port fairy,6110,nsw,19330313,6901115,343
mollie,castelleri,5,jackiehowe crescent,,ardmona,3976,wa,19760616,1378454,344
zachariah,bulgin,,throssell street,farn 43,modbury,2190,nsw,19590703,5683667,345
lushia,reid,6,dunn plsce,hd allenby,karanja,4207,nws,19111022,1691582,346
alyssa,klusk,17,woodgrovw close,b,keiraville,4125,vic,19170822,4937438,347
riley,clarke,12,edwell hplace,bonnie,eatons hill,3218,nsw,19570717,3007913,348
harr,rollins,22,antill street,valbella,mount isa,3142,wa,19240905,5927194,349
mitchell,lex,8,dexter street,blythlands,upper coomera,2011,nsw,19430227,9870170,350
logan,goldsworthy,21,florentine circuit,settlers hills,ashfield,2751,nsw,19160117,8867229,351
jasper,ryan,36,,karbar station,blacktown,2480,vic,19331202,5561624,352
jessica,claffey,102,aronsoncrescent,lamingtonunatlional,wynnum west,2080,vic,19431126,7278796,353
gabrilele,clarke,24,troughton m street,unt 3,,2114,qld,19440219,9711144,354
dominic,aldedrson,309,clamp place,,bundamba,2767,sa,19871130,1163272,355
sarahp,white,97,,,cronulla,2278,wa,19320303,7287941,356
alysha,maier,,kerrigan street,craigie-lea,morphettville,3124,qld,19480111,8215736,357
kydan,burford,249,garran place,cape hawke hosptl medcl centre,launcestno south,2126,nsw,19530728,5743011,358
lily,hamon,59,clutsam place,villa 444 th e village glen,ashgrove,4717,acg,19490707,1603670,359
gemma,lowe,77,currie c rescent,,san remo,4208,sa,19730809,7414003,360
kimberly,mason,150,tauss lace,,rosewater,7008,vic,19840507,5663441,361
blake,rau,119,lenehan street,binnalong,burleigh heads,2065,vic,19040120,8590013,362
kobe,miliyano,89,sprent street,glenlee,eaglehawk,2040,qld,19710302,6038986,363
joel,cerins,24,majura lane,bungarra,matraville,4146,wa,19860411,6230406,364
jade,clutternuck,142,chipperfielod circuit,westcourt,bundamba,6050,sa,19151030,3828291,365
joshua,leaver,30,nardoo crescent,diment otwers,st luca,2167,qld,19650306,7912588,366
lily,wastell,2,clare dennis avenue,glen rathur,marsden,2118,sa,19720903,2526870,367
nataia,langrerh,32,calvary clinic,mt annan,narellancvale,5290,nsw,19981015,5685638,368
madeleine,white,50,hunter street,universityhsores,marlow lagoon,2500,sa,19401228,6386791,369
gabkel,etsclurt,3,banks street,the mews royal hotel bldg,renowu park,2541,nsw,19210501,3783783,370
karl,adart,56,launceston street,aprt 504,clarkson,2032,nsw,19860315,1526150,371
kydan,siviour,18,galibalesgreet,the willows,,2327,nsw,19830421,8231850,372
joshua,clobke,11,mcquade close,malinga,kyabram,2650,,19640531,9168763,373
nicholas,milalr,201,malandao rchard,temperley street,hyde park,2767,wa,19300617,1000123,374
brooke,rabbitt,46,cockcroft avenue,swalneigh,coolum bdach,6110,wa,19080421,6122971,375
flynn,bishop,16,solomon crescent,,burw ood,4165,vic,19270515,3604457,376
erin,hearn,,port jackson circuit,gowan,preston,2605,nt,19101004,5064504,377
natassia,mccarthy,16,newman mor ris circuit,st john of gos hospital,port sorell,6324,nsw,19761016,1123871,378
alexadnra,agett,48,keith street,boronia,taree,6436,nsw,19180406,8624670,379
ned,kalka,3,,silvefweir,hazelwood north,2040,vic,19820419,7612543,380
tommy,white,4,preston street,ben hlil,wahroonga,2230,wa,19161007,3053568,381
raquel,vandodneren,14,clift crexcent,albaredo,maryborough,5113,nsw,19591023,7083852,382
benjamin,yen,43,kambalda crescent,elmvood,findon,3807,nsw,19850706,7843492,383
slam,neophyton,16,albermarle place,sec 1,springwood,2500,qld,19670216,6643294,384
alicia,lenartowicz,47,jane price crescent,kildrummie,clovwrdale,3056,vic,19291029,2790792,385
thomas,monis,30,schofiel d place,duck creek,terrey hills,2145,nsw,19620331,3724382,386
mystique,agius,79,cherry ha ven,meeson street,albion park,3104,vic,19720822,4578360,387
hugo,mccarthy,154,chauveo street,ohio station,port fairy,3840,nsw,19550609,5250727,388
chelsea,ryan,13,myles close,se c 1,stonfuell,5159,nsw,19510812,5489594,389
jacob,byrt,1199,binyap lace,,wallsed,3155,wa,19429008,7691324,390
joshua,moody,15,el-woodaro,glover street,warren,2304,qld,19580620,9224762,391
kai,wilczke,83,oliver street,appleglen,toowoomba,7285,wa,19290502,1878744,392
,cother,34,kaberr y place,,cooloohgup,2539,wa,19200710,2827954,393
william,mason,14,bindaga street,unt 2,yackandandah,3150,nsw,19780603,3588709,394
ethan,hand,1,lambrigg sitreet,rainmore,sout perth,5075,vic,19411222,3559682,395
melind,tuckwell,8,stradbroke street,cherry tree,rushworth,2219,qld,19961127,5540986,396
leah,hilton,38,birdwood street,lucky corner,mitcnam,3169,nsw,19380702,9968264,397
imogen,kakebz,,colebatch place,wearmotuh,torquay,2566,nsw,19591029,7623050,398
benjamin,hartland,,ranken place,sorrento,collie,3799,qld,19080206,7081202,399
ethan,goode,262,minnett close,,prospe ct,3550,nsw,19830302,9757237,400
isabellaf,ryna,81,ackland place,philip centre,kirwa,4173,qld,19940808,6364020,401
saah,beattih,60,kay's place,oldershaw court,ashfield,2047,vic,19500712,9435148,402
nathan,samuniuk,53,forest dale,burkitt street,hindmarsh west,5540,nsw,19831213,3693831,403
hannah,bishop,79,merriman crescent,,millgorve,4625,nsw,19740414,4492531,404
kirra,watkiln,29,geelong estreet,,nicholls,2088,nsw,19700924,1203301,405
jariui,blackeell,211,igera place,amberavle,mentone,2519,wa,19060228,2309849,406
brianna,dixoh,18,staaten crescent,buckhobble,greensborough,3013,nsw,19860928,4919547,407
jack,dancey,174,wells g arden,,taree,2216,vic,19311206,1490674,408
,zimmermann,,vickery street,kootignal,buddina,6330,vic,19810827,4538744,409
joshus,mason,47,crisp circuit,deergarden caravn park,chinchilla,3799,vic,19390402,8753102,410
william,mccarthy,47,culgoa curcuit,research tsation,evans head,6110,nsq,19010118,1681813,411
ned,gren,6,higgs place,radwon,ourimbah,4880,sa,19840321,4691573,412
thomas,grooby,6,noel ryan g arden,emu ground,new lambton heights,2460,nsw,19640331,3528341,413
mitchell,trowse,22,boolee street,john flynn medical centre,malvern,4350,vic,19640225,4579159,414
teneille,matthews,13,bugden a venue,civic centre,jesmonc,6026,qld,19540122,7584568,415
elizabeth,wojciechowski,16,walkercerscent,,winston jills,3066,nsw,,6972527,416
,camp,28,sharwood crescent,,laverton,2153,vic,,8240507,417
,babic,1,totterdell street,cooingale,st albans,4060,sa,19450493,3346822,418
ky,renfrey,9,southwell street,cottagerose,tooperang,4217,vic,19290827,6382127,419
nellie,clarke,147,,wee roona,christies beach,5345,sa,,3099429,420
teagan,white,54,knoll place,wangaay,padstow,6107,nsw,19210314,9334133,421
sarah,roller,,wrixon sireet,weddinview,kedron,4306,qld,19190420,4429848,422
dillon,nettleford,23,haskett place,glenbrae,emu plains,0822,wa,,6238993,423
andrew,novak,9,blackman crescent,ra 23012,ashgrove,2204,nt,19131226,1378126,424
maddison,lonto,5,namadgi circuit,,kiels moungain,2261,qld,19050429,8559890,425
callum,wheatley,3,john cleland crescent,murrong,florey,2063,nsw,19651106,9895199,426
lachlan,godfrey,45,lienhop street,sorretno,lalor,2350,sa,19080429,9107241,427
darcy,montfort,194,,upper newe ecreek street,mount helen,2448,qld,19580822,6099624,428
sebastian,doodhy,10,mcintyre street,,molong,2061,qld,19881126,4712894,429
aiden,roche,48,eppalock street,elmwodo,port lincoln,4573,wa,19400329,7028007,430
mackeznie,collinson,24,beaurepaire rescent,riverside park,maryborough,3444,nsw,19750803,1576308,431
caitlin,dominey,2,,kilbutnie,plainby,6018,nsw,19761113,3992744,432
phoebe,hage,,marchantcircuit,bracknegrae,mount graeatt,2119,sa,,8504441,433
lia,hyland,36,lomatia place,walkers ridge,regents park,3197,nsw,,9557159,434
jack,drozdowski,8,kardang sgreet,gowrie,point samson,4670,nsw,19070912,1172421,435
bethany,deakin,43,tazewellc circuit,winchesterdowns,ballarat,5371,tas,19520625,4152955,436
calvin,herbert,5,shortland rcescent,kookaburr avillage,kaloama,3130,nsw,19990902,4778880,437
jaimee,bems,5,cobbadah stvreet,grandcetnral,chevron island,2620,nsw,19001005,9646957,438
alexandra,giordano,32,crozier circuit,marsden forest,samflrd,4680,vic,19341104,7610250,439
justin,weller,3,sprent street,heritawge est,thornlie,2074,nsw,19441214,5085526,440
joel,nalpantidis,,paul coe crescent,rp 24089,baskerville,6230,sa,19501117,3815548,441
ella,wedmaier,7,duffystreet,glenpora,eulxo,2020,qld,19410630,4581426,442
matthew,nguaen,273,hugh mckaymcrescent,katherinol ow leve,,4560,act,19320414,5765039,443
jessica,whiet,4,levi place,habitat,carlingford,6054,vic,19691105,8241849,444
finn,leslie,7,longmore crescent,the lodge,woodcroft,7250,qld,19670715,1685360,445
nicholas,singleton,,lanle square,henry kendall bayside,malabar,4560,qld,19430819,7737769,446
zanj,crocuh,9,allan treet,sbend carvn park,invemrsy,2135,tas,19590501,6678712,447
talan,stubbs,21,binns street,ashell,croydon north,3032,wa,19221022,7550622,448
barnaby,dixon,71,charteris crescent,,ascot vsle,5012,nsw,19960422,4817798,449
christopher,felmingham,,tallaraparkway,the provincial,moree,2195,sa,19600327,7478108,450
william,corire,17,degraves crescent,sec 1,parkinson,4741,nsw,19610614,5150424,451
dylan,la ndau,14,togo place,wattandee,whalan,4310,nsw,19500525,3431616,452
stepahnie,tiller,281,mcleod place,villa 19,katherine,2680,vic,19631220,7432991,453
coopez,marinos,32,madigan street,fig tr ees,mayfield,3944,nsw,19700719,6708332,454
isobel,burnell,4,heidelb erg street,cinema cdntre bldg,stretton,5680,vic,19900603,1027213,455
mitchell,flannery,2,wilkins street,paradise syprings,toowoomba,5088,vic,19581016,8712141,456
sophie,bevis,8,bungonia street,fernlea,ringwood east,2514,vic,19820602,4133682,457
sophie,manson,14,elizabeth xrescent,manorhouse,gorokan,3465,vic,19510201,4818868,458
,melham,21,kingscote crescent,kerry street,elizabeth vale,2663,wa,19911210,5648275,459
thomas,fogliano,522,hawdon rtreet,francis c hambers,bonville,6617,qld,19290927,3505678,460
dayna,hassall,8,laughton street,anzac house (cnr archer s street,highon,3028,sa,19040622,3632388,461
phoe be,dixon,7,ambalindu mstreet,bracke n leigh,yass,6027,tas,19960119,3838118,462
samuel,david,62,namatjiradrive,apmng 501,north arm,2166,qld,19560208,8268023,463
natalia,bissett,98,springvale drive,,kaleen,4218,qld,19500422,8653274,464
lauren,nguyen,253,myers place,canberra hse,coomba,5034,nsw,,2534716,465
cameron,cioffi,11,,inverneath,newf arm,2153,qld,19860725,7511789,466
lucas,white,17,muresk jstreet,glenbrae,clapham,2131,qld,19420809,6988438,467
jordan,paterson,36,grono place,tarqua,maryborough,2607,nsw,19420219,2467275,468
marcus,roddik,46,stonehouse,fullerton crescent,cashmere,2753,vic,19381222,7785247,469
,neville,71,pleasance place,macarthur place,wanniassa,3875,qld,19730731,5739885,470
jare,white,33,dawes street,villa 3,sandy bay,2871,nww,19640307,2135501,471
jackson,lehane,115,,hawksview,balwyn north,2099,wa,19390312,2738637,472
owen,hingston,16,goldner circuit,bramhall,yanco,6105,qld,19991220,1508216,473
georgia,glover-smith,34,howse street,,rab,5340,wa,19790813,8934327,474
lochlano,reifferscheidt,626,carrington road,haig hpark,bonny hills,4172,vic,19020119,6477624,475
james,weidenhoffer,52,bellchambers crescent,paddy's r iver,,3337,qld,19130401,4232347,476
sara,weller,39,,heathfiled qld,keilor east,4304,nsw,,3408564,477
harriet,paterson,5,smiths road,jaybees,ringwood past,6012,nsw,19321027,3012880,478
destynii,hope,24,villa 3,barungastreet,st peters,4061,nsw,19210430,6586290,479
ben,nguyen,17,doherty pplace,centenary marketplace,bayview neights,2049,nt,19731201,1783041,480
jessica,mac nell,13,neeld place,bessy sue,sheffield,3124,atc,19160213,7779746,481
,ryan,20,ashburton circuit,wilderness,cressy,2580,vic,19560126,3864187,482
tiana,bastiaans,34,decima circuit,,hallsville,4702,wa,19150613,1914490,483
j oel,ryan,22,robertso n street,erinmoore,portarlington,3196,qld,19950602,9067165,484
kadin,crosswell,38,,karobean,leongatha south,2070,vic,19410715,4079644,485
saule,peachey,28,waratah street,goonahra,wanniassa,2750,vic,19531113,2548288,486
laclhan,penno,5,britten-jones drive,,williamstown,3121,vic,19639029,2510563,487
,dantiochia,,wiburd street,solander centre,como,4035,nsw,19221020,6629558,488
ewan,mildren,60,loftus tsreet,,bellevue hill,2001,wa,19941205,6218110,489
jarod,lusted,22,prescotttstreet,girrahween himestead,burleigh waters,4502,nsw,19321125,6896793,490
broose,reid,27,skertchly place,santa lucille,rye,4115,qld,19341227,3146566,491
edward,denholm,10,corin place,goldt yne,clayfield,4221,vic,19130629,7119771,492
lily,berry,77,crofts crescent,railway cttage,rose bay,3340,sa,19590415,6015647,493
ryan,linhdolm,125,coolibah crescent,acadia,kingston,3116,vic,19110122,9865390,494
ryan,whie,19,wilkins street,logancrail,banksia,4064,sa,19760204,7368589,495
zacary,white,54,shain place,,glenwood,3840,vic,19111109,7091861,496
archie,mccarthy,9,playoust place,kerirsoca,ascot,9319,vic,,4937930,497
alicia,green,30,proctor street,navan park,eden,2484,sa,19311203,4191587,498
,bazley,14,pennefather street,the willotws,greensbrough,4209,wa,19110509,7072734,499
lachlan,red,20,starkestreet,busbey's flat,caulfield,2611,vic,19600906,3614628,500
sarauh,noble,75,perrin circuit,westside,glenside,0216,vic,19010712,3254420,501
rachel,matthews,32,,malladup,ruse,4720,vic,19401207,9129899,502
molly,slape,23,currie crescent,dickson family practice,glenwod,2777,wa,19530127,6905342,503
aurora,gigney,64,o'rourke street,timdoolin,shellharbour,4059,nsw,19760409,7169291,504
rhjys,stubbs,155,cockle street,teralba caravn park,marsden,3148,qld,19931202,8594688,505
,czarnik,10,bunbury street,glneavon,ulmarra,4252,qld,19601222,3960160,506
konstantinos,nguyen,56,pinda,twamley crescent,wanmiassa,2173,nsw,19730401,4155990,507
kelsea,worsuey,65,mackellar rcrescent,,hemmant,4208,qld,19990610,6206107,508
samantha,papoutsis,21,titheradge place,st francisv illage,wyoming,3300,vic,19260627,7785823,509
brinley,baumab,14,prout lpace,amblin caravan park,gaven,3021,vic,19360411,7377453,510
amber,estacio,4,glenmaggie street,perry park hostel,launceston south,3057,qld,19720412,3256476,511
,robson,10,flegg crescent,kuliu p,woongarrah,3149,nsw,19880603,6084403,512
aliaa,white,356,,wemysd,mosman,3183,vci,19660226,7732220,513
emioly,van rossen,36,giltinan place,narla vlge,surrey hills,3746,vic,19010822,3981817,514
,dessart,165,macvitiewplace,brambletye v inyard,lindenow south,4218,,19361017,2517857,515
elana,wilkns,11,,homevale,st kilda east,7183,nsw,19920601,4088657,516
georgia,metaxiotis,15,augustus way,,tuart hill,3196,vic,19130627,5883327,517
jack,collinson,4,blowering os treet,canobolasceaavn park,leeton,4212,nsw,19821223,5810985,518
amber,coleman,6,bunda street,altona,mount isa,2121,wa,19050907,2464697,519
sophe,grosser,39,tryon steet,bethel y ostel,bull creek,3875,wa,19011031,6415988,520
hayden,kluske,25,kanooka street,grenoble,bonnyrigg,4740,nsw,19111028,9665354,521
mitchell,longo,52,faucett dtreet,beagle bay,wamuran,3139,nsw,19760429,4714885,522
emma,maynard,18,chillagoe s treet,little springhurst,lower mitcham,4051,vic,19931210,8245281,523
lilly,godfrey,7,discovery street,2/98-latchford barracks,trigg,6019,wa,19030330,7434268,524
patrvrck,george,11,coxen stret,belleview,urangan,4051,nsw,19371129,5526595,525
cooper,rovirq,19,maclaurin crescent,suunyrbae,broken hill,3414,qdl,19121113,8734370,526
mitchell,paterson,10,boniwellstreet,kilacloran,point lonsdale,3021,vic,19550830,3431890,527
joshua,quinzi,15,bagster place,arabian stud kelkette park,edgecliff,4670,vic,19338008,4918400,528
kailey,stubbs,94,house circuit,moreton island,,4551,qld,19230318,1819847,529
keahsley,baake,51,gallagher street,belconnen animal hoxp ital (cnr coulter d,south melbourne,2444,vic,19691015,2632188,530
,tarquinio,24,lindclose,,frankston,4505,vic,19650419,4738861,531
brodee,egan,88,axon sireet,greens lopes,wamberal,2067,qld,19121113,6039042,532
hugh,deblasio,,totterdellqstreet,mariner views,west perth,4814,nsw,19280627,8578252,533
kiandra,waller,41,stobiew place,west r oad,rossmoyne,4071,vic,19480123,5588564,534
elki,nguyen,20,higinbothabmstreet,oakdale,waratah north,6168,qld,19111101,1060379,535
cameron,walls,4,flt2a,carruthers street,tucabia,2036,nsw,19461005,8102234,536
marlee,ryan,,brittlebank circuit,,ringwoid,7248,sa,19180126,4573130,537
,staunton-smith,68,kookaburra village,frome street,broken hill,2870,vic,19820117,6922783,538
daniel,glad,,roe street,rowethorpe,tungamull,2026,tas,19170309,4569679,539
mikyla,broadhead,44,sewell place,golde n own,waterloo corner,3123,qld,19571018,8632021,540
lushia,mason,26,mcdermott street,tundawra,balwyn north,2099,nsw,19261204,6453135,541
,gibb,59,weavell place,st vincents hospital,tawonga south,2119,nsw,19490606,8704563,542
ky,greegn,61,twelve trees crescent,opal cov e esort,kingaroy,5251,nsw,19260320,3138813,543
rachel,karlovcec,5,alberga street,,eastern heights,3228,nsw,19250114,9531225,544
catherine,croucj,23,jindivik place,,mosmanj,3953,nsw,19890926,4741965,545
madion,renfrey,7,mcdougal l street,pine hill,barwon heads,6001,vic,19070611,5700724,546
jessica,kusdek,,limestone avenue,jinchulla,lavington,4519,qld,19721222,3705755,547
jacob,careless,33,,bolaro,eden,6059,wa,19770706,7248157,548
jmaes,feast,139,goldstein crescent,kooringl epark,beenleogh,4214,vic,19500714,9202596,549
zoe,paterson,8,chauncy crescent,heritage est,blayney,6602,qld,19930912,2580670,550
marris,shanw,35,heard street,rmbh 884,lilydble,5352,vic,19671112,2643005,551
olsiver,nguyen,222,mulder place,shalestone,elizabeth park,2150,vic,19190909,6981679,552
alissa,ryan,22,boobialla street,urimbira,seaforth,6018,nsw,19990829,1669592,553
saraj,de crespigny,16,mauricehplace,allandale,somers,2250,vic,19130113,4115888,554
laurn,berryiman,,doyle terrace,canberra avenue,menitndee,3016,vic,19390528,8295272,555
abbye,dixon,1,marcus clarke street,grasmere park,scarborough,3141,qld,19441008,8127929,556
finn,hoang,86,fremantle drive,rathdapgan,boulder,2099,vic,19101022,2016540,557
aleisha,lowed,9,cavanaugh street,,mulgraeeast,2445,wa,19731203,3335374,558
mitchell,shepherd,341,richstreet,,balhannah,2077,nsw,19500430,8291804,559
eliza,mason,33,schonell circuit,john flynn medical centre,mount warren park,2093,sa,19271018,5422520,560
tara,plovanic,25,hobler place,port hills,kalamvnda,2747,vic,19600401,4207452,561
harrison,herert,9,davidson street,allamby biala street,mulgrave east,4871,nsw,19480129,4129781,562
domenique,alves,4,croton street,,nome,7017,qld,19490813,2034593,563
sybella,meaney,82,julius street,east end,seafroth,3690,sa,,7466921,564
braedon,bindoxff,9,eve place,moreton,hamiltpn,2099,nsw,,7181006,565
renee,renfrey,24,serpentine street,retmntvvlge,winchelsea,2176,wa,19690305,5153203,566
sarah,brgels,23,torrensxs treet,,tarrag indi,2747,vic,19521019,8447931,567
lucas,portors,6,ballard place,mari ner views,noble park,4061,wa,19381227,6890246,568
lawon,doody,4,learmont h drive,the lakes retirement village,altona north,2794,sa,19820126,4998687,569
emiily,nguyen,01,noble close,hillbyrne,naradan,6151,nsw,19550413,5771309,570
max,george,52,bunbury sgreet,doctors flat,coolumbeach,2239,vic,19031106,1932739,571
holy,patersoen,1,collier p ark vlge,biffin street,kogarah,2360,qld,19620830,7769159,572
henry,greenhaplgh,2,,,shorncliffe,4516,wa,19670212,3335029,573
luke,kennealy,30,moorehead place,sun valley caravan park,inglebirn,3749,wa,19070108,5173077,574
nicholas,pontt,27,bulli place,wattle mount,new farm,2750,vic,19570101,3411264,575
david,hobsson,14,vagabond cfescent,dugout 65,patterson lakes,4880,wa,19010305,7666240,576
dean,wiseman,27,currongstreet,palm garden villas,croaer,4305,qld,19740808,1613598,577
kylee,clarke,57,pethebrid ge street,lansodwne,normanville,2034,qld,19000930,3275236,578
tiahnee,excell,33,,normanville mews,watsonia,2076,nsw,19971223,5973196,579
noah,menzhies,18,bingley crescent,east lynn,abbotsford,0870,nsw,19391026,1502043,580
talis,dhara,14,kirkham place,,bidwill,4160,wa,19700715,9048094,581
raquel,staude,44,ebdens treet,,terrey hills,3087,nsw,,2866688,582
gemma,brain,536,lingiari court,flt 167,ancona,3130,sa,19261125,8731806,583
matthew,schuster,1,elmslie place,centrefai rplaza,ulladulla,2251,vic,19890911,9319732,584
kristen,godfrey,48,dromard,cussen street,bray park,4156,sa,19700425,5874139,585
blake,white,198,boldrewood street,winterp ark,nunawading,2067,sa,19180815,5832531,586
chelsea,mccarthy,17,la perouse street,arcaida,ballarat,4007,nsw,19921130,4620249,587
abbey,crisci,23,gorge creekorchards,spence place,cygnet river,7030,,19890327,7400712,588
jayden,glass,33,henry melvilnle crescent,patrician stud,sanctuary point,2283,qld,19510331,4079997,589
,clarke,,barangaroo street,apt 8g,blacktown,2615,nsw,19240224,6718271,590
holyl,campbell,21,casey crescent,,westmead,4573,qld,19911007,4424335,591
zachary,goode,39,alroy c ircuit,,broadmeadows,7250,nsw,19900208,3817430,592
lucu,easlingx,97,mimosa close,the old p arsonage,manyana,3016,,19810520,5467025,593
laura,flannery,54,sid barnes crescent,,winstonhills,5073,qld,19581023,9712180,594
benamin,spaans,72,ellerstonavenue,birkebnau,kulnura,5082,qld,19010804,1924477,595
jackson,campbell,10,marungal avenue,,kunwaraara,2445,qkd,19420220,7928114,596
riley,spicer,124,mclachlan crescent,,boort,2508,nsw,19941213,3182778,597
emiily,stanley,,anthony rolfe street,,st kildau east,3765,tas,19051127,2491635,598
,wanders,453,louis loder street,hilltop iew motel,avoca,2284,qld,19120509,3198280,599
talia,berrey,24,nemarangcrescent,,nollamara,3707,vic,19690713,1239638,600
jordan,lock,27,tallara arkway,retirement village,manly vale,7520,vic,19070222,9835720,601
robert,gibb,2,springcreek,mckeahnie street,frankston,2450,wa,19440618,9181026,602
jemima,apaty,79,,unfzan,dandenong north,3000,sa,19830719,6617205,603
anthea,,1,priestley place,old afrm,ingleburn,3220,qld,19611202,5884746,604
sophie,bradsahw,18,rowet horpe,kidston crescent,gerladton,4069,vic,19380426,2830844,605
leo,george,38,langridge street,gree nwood,braidwood,2038,nsw,19631227,2248611,606
makenzi,chandler,,duffy street,,hoppers crossing,2615,wa,19711213,9713887,607
madison,morrison,38,peacock place,melim a,campbelltown,3021,wa,19481214,1967265,608
oliver,nettefeold,35,alphard dplace,fairlgiht,semaphore park,3802,vic,19570625,4691024,609
zachary,berry,95,leahy lplace,crestkield,shento mpark,6320,nsw,,3631759,610
juliana,akkermans,24,northwood park,jondol place,holswothy,4068,nsw,19970330,5071393,611
noah,painter,50,kingscote crescent,tewantinplaza,drillham,4650,vic,19590501,2779286,612
william,gohl,378,charlton street,toomba,kellyville,3028,vic,19030711,1291827,613
jye,humphreys,25,alma close,tyron ehills,berala,6075,vic,19670801,9902860,614
benjamin,berry,4,glenmaggie street,trewilga,kariong,3064,nsw,19220905,3664258,615
dylan,jedynak,,genoa s treet,ruthven street,glenhaven,4213,act,19201112,1200539,616
rebcca,riddekl,10,glasgow place,fowlers bay,picnic point,2915,tas,19010105,2892366,617
jasnyn,yeap,30,white crscent,lawley p ark,murray bridge,3079,nsw,19500508,9139909,618
isabella,westbrbook,20,yanda street,carlwo,seven hills,2048,tas,19730807,1274198,619
bailey,gree n,76,jackie howe crescent,glengara billage,murgon,3340,nsw,19960416,1468056,620
